,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,marital_status,education_level,kids,expenses
0,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,63,2822,,,4,,,,,3,,,1529,1441,0,Single,Graduation,0,1529
1,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,66,2272,,,4,,,,,3,,,21,15,0,Single,Graduation,2,21
2,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,55,2471,,,,3,,,,3,,,734,692,0,Together,Graduation,0,734
3,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,36,2298,,,,3,,,,3,,,48,43,0,Together,Graduation,1,48
4,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,39,2320,,5,,,,,,,,5,407,392,0,Married,PhD,1,407
5,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,53,2452,,,,3,,,,,4,,702,688,0,Together,Master,1,702
6,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,49,2752,1,,,,,,,3,,,563,536,0,Divorced,Graduation,1,563
7,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,35,2576,,5,,,,,,,,5,146,123,0,Married,PhD,1,146
8,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,46,2547,,,,3,,,,,,5,44,42,0,Together,PhD,1,44
9,5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,70,2267,,,,3,,,,,,5,36,23,1,Together,PhD,2,36
10,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,44,2752,,5,,,,,2,,,,45,29,0,Married,Basic,0,45
11,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,61,2385,1,,,,,,,3,,,1072,1042,0,Divorced,Graduation,0,1072
12,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,68,2385,1,,,,,,,,4,,296,282,0,Divorced,Master,2,296
13,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,33,2786,,5,,,,,,3,,,41,36,0,Married,Graduation,0,41
14,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,74,2741,,,4,,,,,,,5,1270,1225,2,Single,PhD,0,1270
15,41850.0,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,40,2711,,5,,,,,,3,,,92,88,0,Married,Graduation,2,92
16,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,74,2826,,,,3,,,,3,,,289,261,0,Together,Graduation,0,289
17,76995.0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,71,2617,,5,,,,,,,4,,1606,1430,1,Married,Master,1,1606
18,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,35,2762,,,4,,,1,,,,,94,55,0,Single,2n Cycle,1,94
19,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,38,2849,,5,,,,,,3,,,268,220,0,Married,Graduation,0,268
20,2447.0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,41,2698,,5,,,,,,3,,,1729,1728,0,Married,Graduation,1,1729
